Week,Date Range,Tue Run,Thu Run,Weekend Long Run!,Notes
Week 1,2025-12-02 to 2025-12-08,"6 km easy","6 km easy","12 km easy","As required"
Week 2,2025-12-09 to 2025-12-15,"5–6 km easy","5–6 km easy","10 km easy","Cutback"
Week 3,2025-12-16 to 2025-12-22,"6 km easy","6 km easy","13 km easy",""
Week 4,2025-12-23 to 2025-12-29,"6 km easy","6 km easy","14 km easy",""
Week 5,2025-12-30 to 2026-01-05,"Intervals: 2 km WU + 4×800m @ 5:45–5:55/km (400m jog) + CD","6–7 km easy","14 km easy","Start speed"
Week 6,2026-01-06 to 2026-01-12,"Tempo: 2 km WU + 3 km @ 6:00–6:15 + 2 km CD","6–7 km easy","15 km",""
Week 7,2026-01-13 to 2026-01-19,"Intervals: 2 km WU + 5×600m @ 5:40–5:55/km + CD","6 km easy","12 km","Cutback"
Week 8,2026-01-20 to 2026-01-26,"Tempo: 2 km WU + 4 km @ 6:00–6:10 + 2 km CD","6–7 km easy","16 km",""
Week 9,2026-01-27 to 2026-02-02,"Intervals: 2 km WU + 6×800m @ 5:45–5:55/km + CD","6–7 km easy","17 km",""
Week 10,2026-02-03 to 2026-02-09,"Tempo: 2 km WU + 3.5 km @ 6:05 + 2 km CD","6 km easy","14 km","Cutback"
Week 11,2026-02-10 to 2026-02-16,"Intervals: 2 km WU + 5×1 km @ 5:55–6:05/km + CD","6–7 km easy","18 km",""
Week 12,2026-02-17 to 2026-02-23,"Long tempo: 2 km WU + 5 km @ 6:00–6:10 + 2 km CD","6–8 km easy","19 km","Specific phase"
Week 13,2026-02-24 to 2026-03-02,"Race-pace: 2 km WU + 3×3 km @ 6:10 (3 min jog) + CD","6–8 km easy","20 km",""
Week 14,2026-03-03 to 2026-03-09,"Mixed intervals: 6×1 km @ 5:55–6:05 + CD","6–8 km easy","15 km","Cutback"
Week 15,2026-03-10 to 2026-03-16,"Long tempo: 2 km WU + 6 km @ 6:00–6:10 + 2 km CD","6–8 km easy","20 km incl. 3–4 km @ 6:10",""
Week 16,2026-03-17 to 2026-03-23,"Race-pace repeats: 2 km WU + 3×3 km @ 6:10 + CD","6–8 km easy","22 km","Peak 1"
Week 17,2026-03-24 to 2026-03-30,"Mixed intervals: 5×1 km @ 6:00 + CD","6–8 km easy","23 km","Peak 2 (max long run)"
Week 18,2026-03-31 to 2026-04-06,"6 km incl. 2 km @ 6:10","5 km easy","14–15 km easy","Start taper"
Week 19,2026-04-07 to 2026-04-13,"5 km easy + 4×100m strides","4 km easy","10 km easy","Taper"
Week 20,2026-04-14 to 2026-04-19,"3–4 km easy","2–3 km very easy","—","Race Week – Race April 19"
