resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,device_name,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,average_cadence,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules
2,"{'id': 118736122, 'resource_state': 1}",5 stetig,5006.8,1847,1854,24.8,Run,Run,0.0,Apple Watch Series 6,17518339902,2026-02-25T13:38:58Z,2026-02-25T14:38:58Z,(GMT+01:00) Europe/Berlin,3600.0,,,,0,2,0,1,0,"{'id': 'a17518339902', 'summary_polyline': 'yio_Iu||oAIp@A|@HZJVVLx@DXJT?f@JjA\\x@Hr@?Nf@HPNFf@If@CTGPAREx@@\\IXAT?JCV@NLJzC?`BPxCBpAAzAFjAChANxC@n@E~@BNCZFnADTAfB@\\DL@tADv@@tAH`AA|@HdABv@?l@DjAA`@Dj@A|@@^Df@B`BDVHbC@vBBT?z@F~@?z@@f@F^Bv@A`@LnBDjBFr@DrCCr@DjBAP_ATIFMBc@RU?o@NUFk@\\yAZu@\\QDg@DODWPc@Ha@PU@k@P[NKJYHWLM?WHKAc@Tg@Dc@RW^i@f@QHG@ECWLe@JC?I[KiAAk@OmA?iAGiA@MCcAC]C{AEkAOkCE[IWKEm@Fw@Pa@BMD_@ZGLEbAEDMFWFGAMFQ?u@NGGC_@Ia@Ym@GYBQBGLI?SKoA@O?KU{AKoAEu@@M_@cGIeC?YKaB?{@Be@VuA?q@Dy@Lk@@i@I{AEyCGw@Ai@Eg@EsAIw@EoBIm@M}CQoB?GFIHGLUMiAESKq@?g@YoDFcBCe@?y@Ii@@a@Fw@DWDgAASOq@IkABSZaAPIv@?RCd@OPB\\LP@z@Kf@PXT^Ll@@ZG`@Al@Pd@FPDX@JB', 'resource_state': 2}",False,False,False,False,everyone,False,g27268920,"[52.511124, 13.263891]","[52.51169, 13.263084]",2.711,4.82,True,161.4,173.0,False,True,69.1,52.7,18615774460,18615774460,B2706A3A-D88B-4EC2-8F76-00D59B86E6E4-activity.fit,False,0,0,False,,,,,,
2,"{'id': 118736122, 'resource_state': 1}",Morning Run,2037.8,754,762,0.0,Run,Run,,Apple Watch Series 6,17503050740,2026-02-24T08:57:45Z,2026-02-24T09:57:45Z,(GMT+01:00) Europe/Berlin,3600.0,,,,0,0,0,1,0,"{'id': 'a17503050740', 'summary_polyline': 'kko_Iuz}oAe@eAESGKESKQOe@KSOQk@rCQXm@pAi@z@s@bBs@z@S`@i@fAEXSb@SXSNc@|@Qr@Wn@OZERa@bAKf@W^K`@ELSVULWFOHQZMHGCe@y@_@Kq@AWMMBu@KOAE@YYg@U]Ka@Cg@[c@Si@i@y@Wa@C[S]EUGGW?GHId@BbA\\D?RHFAPD`@P`@x@f@\\`@?\\CXDLFb@d@`@Ph@Dz@Eh@IJ@PJRTZt@n@{@ZYZo@', 'resource_state': 2}",False,False,False,True,only_me,False,g27268920,"[52.511271, 13.26352]","[52.51438, 13.264448]",2.703,4.12,True,157.2,172.0,False,True,62.8,61.1,18600435947,18600435947,602D0E6B-64D9-493F-A05F-A72B62E3E9BD-activity.fit,False,0,0,False,,,,,,
2,"{'id': 118736122, 'resource_state': 1}",Leaving Berlin,15004.0,6141,6714,29.5,Run,Run,2.0,Apple Watch Series 6,17473057368,2026-02-21T13:00:34Z,2026-02-21T14:00:34Z,(GMT+01:00) Europe/Berlin,3600.0,,,,3,4,1,1,0,"{'id': 'a17473057368', 'summary_polyline': 'oew_Iyi}pAFq@?{@h@yCrB{Fd@eC^_AEOHkBMEg@o@sA}Cu@uC?s@uAyBc@cB]i@@QYq@?QM_@C]mAmCAe@}@iBq@gBWoB{@{AMw@[m@WoA_@y@CWFu@Qu@KMg@DQ]Sy@k@Bs@cB]aBKMiAyDc@eAMw@aC}FGc@Ym@Ce@Ym@c@qBi@o@SmA{@gCYuAYe@q@gCa@cAIi@a@u@ICk@yAGc@MSMq@k@cA{@iDYe@Qm@UwAQOy@{BYoAo@}ASw@OSS_AQCSY?c@fDoKNs@l@mAGy@k@i@_AsBk@[aAyAUK{@sAqAsAc@gAa@[mAiBAOLa@Qe@a@Mu@kAq@q@a@qAG{@r@eNPyARsGPiDAuA^mG@mAs@i@_Bu@e@e@_Ac@cBmAeAqDe@cAGs@[i@u@kCQYoAaFk@mAi@iBy@qBU[oAmEgE_I_@_A}@qAkCwG_AwBcB}ByAq@yBMuDu@cCKOJKXe@NiBUo@_@k@IgA?mEYkAU_CRo@Po@d@iBf@m@@mAb@}@Fy@Ug@BWPiAOyBk@MDm@Yc@Ma@Lc@UUDWOYFg@SSDq@u@aB]kBo@cBu@GKaB_@s@g@cBg@m@_@qCeA{@q@a@Gg@a@{Aq@eBmBeBiCiAwBYYiAqC}@kC{EcPoBiHm@cBa@eBa@}@e@sBWe@s@yCeA_Dw@uCE?k@{B_AgCMgAOSw@mD{@_Cq@mCkAmDIe@c@eACc@_AaCs@_CYk@C{@yLeb@?eAmBuG}AyDcAaBsBmCEQNo@W]v@lEdAtAfAnB`B`E|DtNh@tAn@rBl@bC^bAbDjL`@bABdARVHd@PTXjAp@|Av@bDp@bBjA~DvAtFjBxF^bBl@vBj@~AfBpGVj@tAnFdD|K~AfFdAnDFb@|BtHbA`Cr@`APf@vA|Bn@|@vB~BzA`A|Al@HTp@\\zA`@bCbAHLlAd@hBh@|CzAdDp@`A|@pAHPQNA`@Zr@XhAJtA\\|CT^EXNdA?xAg@`@?|Au@b@@`Am@xBc@lATz@ElBXp@?v@LTJ^CJJ|@ZbALr@KTa@JEhG~@dEZ~@`@~ArBx@bCvBzELd@dHpMvAzEb@v@n@hBNR|@pCXj@zAvF|AfEzArFR^p@^', 'resource_state': 2}",False,False,False,False,everyone,False,g27268920,"[52.552883, 13.422801]","[52.564092, 13.468335]",2.443,4.26,True,166.6,177.0,False,True,63.9,48.6,18570276347,18570276347,8D96CD34-30A5-4DD1-B7F4-F29BA9598884-activity.fit,False,0,3,False,,,,,,
2,"{'id': 118736122, 'resource_state': 1}",5 stetig,5016.4,1881,1918,5.1,Run,Run,0.0,Apple Watch Series 6,17452215991,2026-02-19T13:52:48Z,2026-02-19T14:52:48Z,(GMT+01:00) Europe/Berlin,3600.0,,,,0,2,0,1,0,"{'id': 'a17452215991', 'summary_polyline': '}io_Iev|oABVGVGBQAKCGEEGCa@EKMMMGk@@c@OOC]AQIa@IWEc@?WI]Gg@ASGg@GO@c@As@FSIK?QGYDYAKIM_@?UB[?i@GgAKOQCGPGHE?UWKEU?[GS?u@L]@GDK@OD]F]UYYy@Qs@]YMk@i@KQKIc@Ia@Qa@Kk@o@G@EDYAMEo@_@O[EE_@Me@MWKQMUc@OSYKOY?QBWRu@DoAD[?k@n@uEHqANiA@g@Jc@HcALi@Fa@@YJ}@DaBTcBFMHm@AYNmADkAFs@^eCR_CT_BFuAN}@Dy@`@yCL[NsALg@PmABo@Hg@DqANqAL_BL}BDMB@?lAg@nFWfBCt@Gl@@l@I|@Qt@Od@If@Cd@MtA?RIl@Or@ARCNO|AOp@GdAIZQdA@XEp@k@|EElASrBSx@Gb@Av@@^IzASr@c@pB@\\YxAATKj@GdAi@pE?LO~A@NEj@QvBACBg@NuAF\\FJh@ZFJJF\\NLAXPd@Rh@L|@HNDXR`@FV@r@VLHl@dAVRHDZD`@An@NFDd@t@^B`@E`@DVG`@UN?LH^rA@\\SlAUr@[b@_@\\GL[ZGNsAdF]\\W@IAIJQHo@`AWRI@S?o@y@k@[QOW]o@e@[a@_@QWUWOq@o@_@e@SKf@Fb@VJB', 'resource_state': 2}",False,False,False,False,everyone,False,g27268920,"[52.511586, 13.263128]","[52.518934, 13.257477]",2.667,4.58,True,164.9,177.0,False,True,62.8,57.0,18549359313,18549359313,2ECE1AC2-DB5E-4936-8AF1-51906C443825-activity.fit,False,0,0,False,,,,,,
2,"{'id': 118736122, 'resource_state': 1}",Morning Run,5017.9,1967,1990,29.7,Run,Run,,Apple Watch Series 6,17424408765,2026-02-17T07:28:45Z,2026-02-17T08:28:45Z,(GMT+01:00) Europe/Berlin,3600.0,,,,0,1,0,1,0,"{'id': 'a17424408765', 'summary_polyline': 'ijo_I}u|oAGPGDKB]C]@k@QYD]ASCG@M@IESSe@A_@GUMk@@MASIQ?E@MNKCo@[m@Ia@BSFI@QIW?SO]GOYWQOEIDE?Wq@[g@OWWU[MOCWKOFICOFw@I{A}@_@OQ?w@[{@m@e@Si@]o@OKOe@MUEMMw@a@MKm@_@EACG]MIMC[Fu@DWG@e@COHGAmAe@qAm@QAy@]M?aBo@WIMAq@UMGGAe@Y_@Ia@MSMQCo@UWGiBs@M?eAe@_Bg@SMiBi@KKEUKgAAm@C[Kq@Me@Is@?gABk@BqCLiCCmADORFZCLEh@Gd@MxBMh@KjAIb@G^@d@EZ?b@E^A`AKz@FVDpAh@`AZTLVFrAb@lAh@d@Jb@Vj@JnAb@VFRHDN?\\KlAKl@?h@KxAFXFHLBFTHIXCt@?t@d@`@FPNF@DAZDx@f@XFF?NBNFz@f@F@L^DAJFP@ZHX?PB^LXDJDFP?b@GjASdBIrAU|AI~AE^G~@Id@KrAMz@GtBI`@KPCJBHZBTARBTA^Mz@G`@JLVPd@J`@N~@Xd@TTJDZBJGbAAz@K^K`@ALBl@`@LDXDt@Pr@Cv@NNL~@\\jBAD?XRVeAHyBLeA', 'resource_state': 2}",False,False,False,False,everyone,False,g27268920,"[52.511545, 13.263043]","[52.511601, 13.264381]",2.551,4.1,True,164.2,177.0,False,True,63.5,43.7,18521454330,18521454330,A72BFFE1-A62F-4BFD-B8F2-297A675FBF57-activity.fit,False,0,0,False,,,,,,
2,"{'id': 118736122, 'resource_state': 1}",Westend - Havel ft Chris,11861.2,4691,4765,89.5,Run,Run,2.0,Apple Watch Series 6,17384670122,2026-02-13T13:27:19Z,2026-02-13T14:27:19Z,(GMT+01:00) Europe/Berlin,3600.0,,,,1,6,0,1,0,"{'id': 'a17384670122', 'summary_polyline': 'ugn_Iad|oAtFhILDpB|Cl@jCJpBPpBBvCN`AFxAT|BEJL|@?x@RtAQhBJvBIdDFlA?bBPlEDVBxBHf@Ex@NzB?`AVxAj@bAV`At@~@\\t@`Al@h@z@LjCJTERDfAe@vAUPQ|CDtERlAX^PlAz@jCxArBEf@AMXl@ZXTd@DZR_@NuAx@gBNB`AxAXp@ZxBPTLjAZhAZfC@nAPlAPn@VVZBj@^P\\DZ`Az@`B~Bj@zAf@hBh@rBx@lDhAX?r@_@z@e@\\UIWRiArAm@h@e@v@KK_AhAc@Xc@v@]VGVa@Fy@nAWFqB~BAb@\\^Tf@XbCBlAKb@A`AOtA?x@SdA@hBGb@An@HLRjA?ZPzAXv@NbA?zAJlADvACp@Dv@OrAFx@]vCA|AUfBA|@Kd@Bh@QnAg@hBMz@@b@Q^Ap@UnAMPKbATr@Gd@~AfC|@dD`@x@Jh@zAvDXZ@NzAlCz@dAzA`BlAbCRp@X`@|B|GLl@TZ~@vCvA~Cz@dAdAXp@`AfAPTGFPGGV?LSPAt@`@p@BTO\\HHPAdBKbA@n@\\bDHVCNBn@XlCOlCgC[eAY}@XQToA@uBy@wAyAg@CMYW?_@J]b@Ij@FdBr@dArAx@NR|@d@p@@lC`AhAKlADtAe@hAIFYEq@PuBQYJ[BmBQyAISSiCG{ASWs@eBWM_@Ju@IEUWQs@IcBwA]c@g@Ea@w@]g@e@c@K{@Fy@c@_AUMQ_AOCScASw@Yw@k@}@UoA}@gC{@mAYaAYOOq@i@_@K[m@k@aBaCOm@_@k@GYOKu@eBo@_CSIMYAg@_@y@Qu@c@o@}@sBKIPUDUE]MKBe@b@oBZaCT_ALyAPw@d@sJb@{E@uGEs@_@{CAm@_@_Ba@sEFcBNeC^cDGsC_@eBCe@Uk@K?_@u@}CoDu@{ASOm@eBKEQk@QSCSg@cAi@o@Aa@SYCUe@y@]a@O{@c@c@Ww@SOg@}@WG_@[KB_@_@q@Qc@Hm@GkBLy@Vu@Me@HFgAEe@Ws@MCISA}@GYDm@MwEI]?qBK{ESwDEkCFgAEsCKcBEuC@w@OaCAcBIe@CaDMi@GgAAgAFe@G{@Dc@O}CDg@OwBBi@KoFGc@GeEGWCiBA{BYsHMsHIkBKa@B{DAa@OKCqGMoD', 'resource_state': 2}",False,False,False,False,everyone,False,g27268920,"[52.508236, 13.258334]","[52.508279, 13.257466]",2.529,4.4,True,168.6,183.0,False,True,68.5,33.3,18481484106,18481484106,11BCEE83-4480-479B-84B9-0D712CBAE2E6-activity.fit,False,1,0,False,,,,,,
2,"{'id': 118736122, 'resource_state': 1}",4 stetig+,4013.4,1515,1519,13.8,Run,Run,,Apple Watch Series 6,17362841549,2026-02-11T13:58:40Z,2026-02-11T14:58:40Z,(GMT+01:00) Europe/Berlin,3600.0,,,,1,2,0,1,0,"{'id': 'a17362841549', 'summary_polyline': 'qho_Ig`}oAIt@YrD?r@Ef@ITUVYBg@IKBSAiB[OBe@Sa@GU?YIU?e@Kk@AQCg@S[CG@e@IG@OAOGOUOG[CKJMb@G^DjBEl@@ZEXAx@EbA@jAOHGEQVDdDHv@BtABJDj@Bz@R`CBN@~@Hv@NfDLbB@x@B\\@`@Dn@D~ADv@ANDx@Fj@AVFpA?LG^QV@`AOpAG`BBbABLHbAA\\@b@BNANDR?TFd@?ZPxCATN|AJxBHh@AZ@`@FL@t@AHK@MJCJD\\AF\\DFBBFAPBd@DTHHf@UH?PGR@PAf@ODMKu@?MDSh@c@VAJ@LCL@HE^BVIb@EFCXAFBNCLBRGDIa@aBO{@Mc@_@qB[wASs@CUw@cCCUBi@CQEKKMK[S]Yq@_@i@O]KOGYMSK_@EE?MYa@q@cB_@{AUwFEs@Cs@Eo@C}AEiAKyA?MIwA?c@E_@CcAM}AUeAEe@Am@EUAw@COKkC@aAGmCFq@BmAHmAAu@DSDwAB]LDNLJ@NH@Dl@NLBLAJFJALFJ?NBFCH@DCFDJEZuAFGLHTF`@PDGHDd@Fb@GRLf@BLBNAPDZ@', 'resource_state': 2}",False,False,False,False,everyone,False,g27268920,"[52.510965, 13.26451]","[52.511634, 13.262982]",2.649,3.76,True,167.1,176.0,False,True,66.7,57.2,18459614147,18459614147,EA958A95-095B-4435-A74F-5F641714BBF0-activity.fit,False,0,0,False,,,,,,
2,"{'id': 118736122, 'resource_state': 1}",5 stetig,5011.8,1922,2029,12.3,Run,Run,,Apple Watch Series 6,17340165206,2026-02-09T14:52:48Z,2026-02-09T15:52:48Z,(GMT+01:00) Europe/Berlin,3600.0,,,,0,2,0,1,0,"{'id': 'a17340165206', 'summary_polyline': 'uio_Iuz|oACnBEDYPINCNINEDOB_@?aBUY?m@Ka@OO@w@Cm@Yg@Hk@MWQa@O[S_@?MCi@?OCG?KFOA]KSIGGmAeCQS[AKEe@CMGYAg@K[?WG{@c@iBq@cAs@i@M[WG?i@YMCGIYI[WMGOEm@[MKi@O_@Yw@[G?K|@Gx@Cn@Kz@AX]~BMbBGXGj@ELG\\INWXIAa@Uq@OG?w@_@S?WEa@SYGMIWAUKMCKLIRI^KTOn@IPYRYXMB]Nq@JIGAIC{AIiA@eAJg@Fq@HKJGRE\\LRN\\JTTBLETONGVEl@Mn@?ZX^\\|@Np@\\lAHhAHd@PZ?p@Dn@AJEH]He@Ps@L?CBEF?VIlAg@FK@ME_@a@}BI}@GUa@yAu@sB?]PsBFSDAJBL?CIIMQGu@g@YEE@QLIJYz@ElAJ|BFVfAENCh@Od@}@ZkAFa@BID?`ARv@^J@TJt@F`@XJB|@LZLJHFBLAHa@FqAXyAB{@n@yGDaADG`@GVPTJf@JV@THFFVPLDTRLBd@ELBX?PFj@d@`@F`@CHBTb@Rv@XVXBVKXCL@RFRPHHFVDDRJx@NNAFDR@NCPKXEXBTXBXFlAZv@LFNR`@ZD?RHXDhAUj@CXFb@G\\PLBPNNF|C`@jA\\b@BVF^AJEPWTOf@EREBC@}ANyA?[', 'resource_state': 2}",False,False,False,False,everyone,False,g27268920,"[52.511256, 13.263706]","[52.512028, 13.264477]",2.608,4.22,True,162.1,174.0,False,True,62.6,58.2,18436865058,18436865058,678FE7B3-D6B2-4920-B80B-5B0B1C31C986-activity.fit,False,0,0,False,,,,,,
2,"{'id': 118736122, 'resource_state': 1}",Morning Run,5388.6,2190,2283,14.0,Run,Run,,Apple Watch Series 6,17324626915,2026-02-08T07:04:01Z,2026-02-08T08:04:01Z,(GMT+01:00) Europe/Berlin,3600.0,,,,0,2,0,1,0,"{'id': 'a17324626915', 'summary_polyline': 'wew_Iki}pAFg@FkBf@}B^sARm@@a@Fi@HKDMN[FCHWPy@DGVm@RkADEFm@DGLs@TKHKNo@BOf@gBt@iCTi@t@mCPe@\\yAVu@TeA^aAT_ADGTs@Nw@Ja@@KNQp@wBF[X_AVcAJUTiAZeA\\w@BWJQJi@^sA@WEU_@QDYHIZG@QL]ZuALYLw@HQDWXs@Jg@DGFUTa@Dc@Ta@TMDEFQJGLOVw@HMHQJu@L[C[@ELYLMBUDGPCPg@DYCEDUCM@KHQBa@d@iABK@U\\c@Na@@ORm@Pu@?MCEBUDMLQLoABGFCHe@^sABYp@{BBYRa@`@cBLU\\gAFg@NYJYLs@R_@v@sD@Oh@}AhAsEDGPg@Jq@J]FIJU^g@^{@FGNWPi@BQFIBQL]NYHMFCFMHoA?_@GWMI?MDEF@J^Ix@@RCp@Ib@WV]l@I^QXMb@?NQVMXILGTUb@Sj@CNSr@GLEAe@k@MIEQMWBQFGDMGUKASFUb@IDEAMPYL]t@IUSUYSQUICEB@JCDMv@OXEGEACJC@YYKYKMKc@Q[Y{AMUQw@E[Q]ASIMCMII?[GKMs@GGKy@Kg@i@kBOmA@_@A@AAAUAGEAEBMP[NIBYAC@ABG?GBMZi@d@O?KDEFMBMV]LCFo@L]\\]FY\\UFOJO@EBUNO?EHIHi@PGAGHs@TOLQBIGGk@GUAOKk@?[[{BAe@EOI{@]uBCIGC_@NHD_@}@Sw@FAABMAESGIWEa@SI@AEG@ECCIQCQMI@UE]?QOk@Uk@MG@UEw@UGKCMH[FsACaAAI[{@OSWJKAKDa@CEIEK@[AWCIAe@GgA@YLEJOPc@FWFk@FgAH_@Bs@HUBYJa@Bc@?a@QiBQq@QO[Mu@e@[KYWQI{@WSAKC', 'resource_state': 2}",False,False,False,False,everyone,False,g27268920,"[52.553034, 13.422817]","[52.555653, 13.463341]",2.461,4.74,True,167.8,180.0,False,True,56.0,45.5,18421125833,18421125833,B89756DC-8D16-4B65-826C-DD038E41F545-activity.fit,False,0,0,False,,,,,,
2,"{'id': 118736122, 'resource_state': 1}",Afternoon Run,4639.5,1859,1911,24.4,Run,Run,,Apple Watch Series 6,17296514587,2026-02-05T13:04:15Z,2026-02-05T14:04:15Z,(GMT+01:00) Europe/Berlin,3600.0,,,,0,3,0,1,0,"{'id': 'a17296514587', 'summary_polyline': 'kio_I_}|oAGf@ApACl@BPHHr@H\\Cr@DJDVDx@VLBLATHZCR@h@?HJFb@@RDDr@QP?p@UR?^D`@IN@VCP@VEZ?FHBxADf@?v@FpAJnDBRCp@?`@H~@?b@HbACpAJ~DCh@@dA@HAh@@v@LlEDTD|@?t@@LAd@DhAFR@VAjAD\\D`DBVJnDBPBjBD\\AlADn@NxHJfB?r@F`A?|@Bd@Cr@HlA?dADp@I^?j@CFIHI@KFWRa@BUPi@JKH[NWBKD]H[NK?c@LQ@e@\\W@g@Le@PKAWHw@NULs@Nc@Vo@Lm@R[FIHa@TWJSRU\\aAZu@FGCGYA]@IE]?i@@IAo@B]ScCGkCYuFOiAKOQE[Nw@?UDOAODGBOAUQIAUDq@AMBi@MWYSm@I}AO_B?aAM_AI{AAeAGs@Ac@Gm@Es@Am@MqCV{BHkBPo@@UAeA]gHA[Ec@CgAWmEGeCKqAEeAWcCIoAEkBMsB@aAGuAFqBHm@Dy@Jo@X_AHy@@KGOOOAICUBg@CM@Ij@wAh@_C', 'resource_state': 2}",False,False,False,False,everyone,False,g27268920,"[52.511161, 13.264094]","[52.513926, 13.264402]",2.496,4.353,True,169.2,181.0,False,True,69.1,52.7,18392729306,18392729306,107F8683-BFEF-47C6-AE64-D53D58205FB3-activity.fit,False,0,0,False,,,,,,
